City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Hithadhoo,MV,80.6,light rain,-0.6,73.0833,Scoop Guest House
5,Paracuru,BR,82.42,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
6,Bull Savanna,JM,81.48,broken clouds,17.8868,-77.5902,Big Red's
11,Gharghoda,IN,77.59,overcast clouds,22.1667,83.35,"Gharghoda, Rest House"
14,Axim,GH,75.99,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
15,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
16,Tres Lagoas,BR,88.16,clear sky,-20.7511,-51.6783,Druds Express Hotel
17,Lithakia,GR,79.88,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
20,Jiaozuo,CN,78.06,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
22,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
24,Vaini,TO,75.47,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Wahiawa,US,84.52,light rain,21.5028,-158.0236,Aloha Wahiawa
31,Kirakira,SB,78.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
35,Honiara,SB,76.93,broken clouds,-9.4333,159.95,Heritage Park Hotel
40,Jamestown,US,85.32,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Filadelfia,US,89.15,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
44,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
46,Ponta Do Sol,PT,79.0,clear sky,32.6667,-17.1,Hotel do Campo
47,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
48,Paragominas,BR,89.4,overcast clouds,-2.9667,-47.4833,INOVA
49,Jiazi,CN,82.08,scattered clouds,22.8779,116.067,Hotel Jin Hao
51,Olean,US,85.1,broken clouds,42.0776,-78.4297,Best Western Plus University Inn
