City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,51.31,87,90,5.75,fog
1,Kapaa,US,22.0752,-159.319,82.72,79,75,5.01,light rain
2,Hithadhoo,MV,-0.6,73.0833,80.6,75,87,4.0,light rain
3,Rikitea,PF,-23.1203,-134.9692,70.65,67,38,6.42,scattered clouds
4,Hermanus,ZA,-34.4187,19.2345,61.9,53,100,9.73,overcast clouds
5,Paracuru,BR,-3.41,-39.0306,82.42,69,32,14.07,scattered clouds
6,Bull Savanna,JM,17.8868,-77.5902,81.48,70,70,5.19,broken clouds
7,Severo-Kurilsk,RU,50.6789,156.125,55.06,97,86,3.8,overcast clouds
8,Busselton,AU,-33.65,115.3333,58.08,65,8,20.58,clear sky
9,Port Alfred,ZA,-33.5906,26.891,61.18,43,58,11.21,broken clouds
10,Mataura,NZ,-46.1927,168.8643,46.47,92,100,3.38,moderate rain
11,Gharghoda,IN,22.1667,83.35,77.59,87,89,6.93,overcast clouds
12,Maxixe,MZ,-23.8597,35.3472,64.38,70,100,9.82,light rain
13,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,0,18.41,clear sky
14,Axim,GH,4.8699,-2.2405,75.99,77,62,7.72,broken clouds
15,Camacha,PT,33.0833,-16.3333,75.52,88,40,13.8,scattered clouds
16,Tres Lagoas,BR,-20.7511,-51.6783,88.16,20,0,9.08,clear sky
17,Lithakia,GR,37.7167,20.8333,79.88,50,0,4.61,clear sky
18,Arlit,NE,18.7369,7.3853,102.31,13,50,4.52,scattered clouds
19,Punta Arenas,CL,-53.15,-70.9167,41.11,60,0,14.97,clear sky
20,Jiaozuo,CN,35.2397,113.2331,78.06,77,94,2.91,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,40.53,71,80,5.68,broken clouds
22,Victoria,HK,22.2855,114.1577,86.38,84,16,1.99,few clouds
23,Port Lincoln,AU,-34.7333,135.8667,55.89,82,100,18.57,overcast clouds
24,Vaini,TO,-21.2,-175.2,75.47,83,71,4.83,broken clouds
25,Kuusankoski,FI,60.907,26.6244,68.52,66,0,5.75,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,36,11.92,scattered clouds
27,Barrow,US,71.2906,-156.7887,44.62,92,90,12.66,overcast clouds
28,Lata,PT,40.1629,-8.3327,66.92,96,57,4.88,broken clouds
29,Bengkulu,ID,-3.8004,102.2655,74.48,86,2,5.41,clear sky
30,Wahiawa,US,21.5028,-158.0236,84.52,77,96,9.62,light rain
31,Kirakira,SB,-10.4544,161.9205,78.89,82,86,8.12,overcast clouds
32,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,78,20,16.11,few clouds
33,Anadyr,RU,64.75,177.4833,52.3,100,90,5.99,overcast clouds
34,Dolores,AR,-36.3132,-57.6792,58.15,80,100,11.05,overcast clouds
35,Honiara,SB,-9.4333,159.95,76.93,88,55,6.04,broken clouds
36,Chuy,UY,-33.6971,-53.4616,66.07,85,1,5.59,clear sky
37,Hobart,AU,-42.8794,147.3294,44.22,71,20,3.0,few clouds
38,Lavrentiya,RU,65.5833,-171.0,44.42,99,100,3.76,light rain
39,Haines Junction,CA,60.7522,-137.5108,58.95,55,98,3.44,overcast clouds
40,Jamestown,US,42.097,-79.2353,85.32,54,20,9.22,few clouds
41,Filadelfia,US,39.9523,-75.1638,89.15,66,90,5.01,overcast clouds
42,Upernavik,GL,72.7868,-56.1549,41.25,81,12,13.24,few clouds
43,Clyde River,CA,70.4692,-68.5914,35.83,100,90,8.05,mist
44,Neiafu,TO,-18.65,-173.9833,75.88,88,75,0.0,broken clouds
45,Kamenka,RU,51.3223,42.7678,61.57,55,13,6.62,few clouds
46,Ponta Do Sol,PT,32.6667,-17.1,79.0,82,1,4.38,clear sky
47,Georgetown,MY,5.4112,100.3354,83.89,85,20,2.3,few clouds
48,Paragominas,BR,-2.9667,-47.4833,89.4,41,91,3.67,overcast clouds
49,Jiazi,CN,22.8779,116.067,82.08,84,25,11.12,scattered clouds
50,Nome,US,64.5011,-165.4064,50.16,87,90,8.05,light rain
51,Olean,US,42.0776,-78.4297,85.1,57,75,4.61,broken clouds
52,Bira,RU,49.0,132.4667,68.79,98,100,2.64,moderate rain
53,Terra Santa,BR,-2.1042,-56.4869,94.06,33,100,5.95,overcast clouds
54,Atuona,PF,-9.8,-139.0333,77.97,69,68,22.95,broken clouds
55,Cravo Norte,CO,6.3017,-70.2041,83.23,71,77,6.46,broken clouds
56,Tasiilaq,GL,65.6145,-37.6368,48.36,85,50,5.26,scattered clouds
57,Hilo,US,19.7297,-155.09,82.8,85,90,4.61,light rain
58,Butaritari,KI,3.0707,172.7902,82.08,74,92,11.12,moderate rain
59,Edson,CA,53.5835,-116.4356,71.74,37,20,2.3,few clouds
60,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,68,0,15.48,clear sky
61,Yellowknife,CA,62.456,-114.3525,63.32,51,20,3.0,few clouds
62,Castro,BR,-24.7911,-50.0119,65.03,61,2,3.85,clear sky
63,Morecambe,GB,54.0684,-2.8611,67.5,84,53,3.91,broken clouds
64,Ushuaia,AR,-54.8,-68.3,37.06,75,40,20.71,scattered clouds
65,Thompson,CA,55.7435,-97.8558,62.76,42,20,10.36,few clouds
66,Albany,US,42.6001,-73.9662,85.03,75,60,1.99,broken clouds
67,Bonthe,SL,7.5264,-12.505,76.95,80,100,7.25,overcast clouds
68,Port Hardy,CA,50.6996,-127.4199,59.0,88,75,4.61,broken clouds
69,Korla,CN,41.7597,86.1469,86.58,13,0,8.01,clear sky
70,Iqaluit,CA,63.7506,-68.5145,51.53,87,75,5.99,broken clouds
71,Samfya,ZM,-11.3649,29.5565,56.79,52,1,13.89,clear sky
72,Bethel,US,41.3712,-73.414,82.36,79,75,5.75,broken clouds
73,Ken Caryl,US,39.5773,-105.1169,92.91,28,16,1.01,few clouds
74,Nikolskoye,RU,59.7035,30.7861,67.89,70,24,2.53,few clouds
75,East London,ZA,-33.0153,27.9116,59.49,46,4,7.78,clear sky
76,Santo Domingo,DO,18.5001,-69.9886,89.92,69,40,3.0,scattered clouds
77,Vanavara,RU,60.34,102.2797,61.32,70,69,3.47,broken clouds
78,Lazo,RU,43.3817,133.9014,67.12,94,57,1.23,broken clouds
79,Lebu,CL,-37.6167,-73.65,52.11,88,39,12.1,scattered clouds
80,Esperance,AU,-33.8667,121.9,52.84,86,2,17.6,clear sky
81,Cabo San Lucas,MX,22.8909,-109.9124,98.51,55,1,9.22,clear sky
82,High Level,CA,58.5169,-117.136,68.11,64,40,5.75,scattered clouds
83,Thinadhoo,MV,0.5333,72.9333,81.84,70,65,2.01,broken clouds
84,Purworejo,ID,-6.7872,111.9224,74.46,80,39,7.67,scattered clouds
85,Saravan,AM,39.7196,45.6483,70.45,68,6,8.72,clear sky
86,Cervo,ES,43.6702,-7.4101,64.96,93,64,4.38,broken clouds
87,Airai,TL,-8.9266,125.4092,55.85,52,76,3.22,broken clouds
88,Norman Wells,CA,65.282,-126.8329,69.84,43,40,3.44,scattered clouds
89,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,11.5,few clouds
90,Kraslava,LV,55.8951,27.168,63.48,62,0,3.44,clear sky
91,Boyuibe,BO,-20.4167,-63.2833,94.91,25,3,10.22,clear sky
92,Souillac,MU,-20.5167,57.5167,70.18,64,20,11.5,few clouds
93,Puerto Escondido,MX,15.85,-97.0667,90.43,62,40,10.36,scattered clouds
94,Narsaq,GL,60.9167,-46.05,59.22,53,42,4.36,scattered clouds
95,Destin,US,30.3935,-86.4958,97.25,67,1,5.75,haze
96,Ancud,CL,-41.8697,-73.8203,47.73,60,33,10.54,scattered clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,35,10.0,scattered clouds
98,Filingue,NE,14.3521,3.3168,93.74,41,100,13.11,overcast clouds
99,Novonukutskiy,RU,53.7002,102.7117,59.97,72,92,2.37,overcast clouds
100,Messina,IT,38.1933,15.5497,85.96,70,1,1.99,clear sky
101,Mareeba,AU,-17.0,145.4333,59.72,85,100,2.28,overcast clouds
102,Uniontown,US,39.9001,-79.7164,87.33,81,66,5.06,broken clouds
103,Udachnyy,RU,66.4167,112.4,69.94,57,21,9.01,few clouds
104,New Norfolk,AU,-42.7826,147.0587,43.88,68,47,3.0,scattered clouds
105,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,100,3.44,overcast clouds
106,Altamont,US,42.2068,-121.7372,92.79,22,1,1.99,clear sky
107,Bluff,NZ,-46.6,168.3333,46.8,87,100,4.81,moderate rain
108,Carnarvon,AU,-24.8667,113.6333,51.87,74,0,6.91,clear sky
109,Cape Town,ZA,-33.9258,18.4232,62.11,53,0,3.44,clear sky
110,Dwarka,IN,22.2394,68.9678,82.0,87,100,21.05,heavy intensity rain
111,Ambon,ID,-3.6954,128.1814,77.14,94,40,0.0,scattered clouds
112,Key West,US,24.5557,-81.7826,89.6,66,75,8.05,broken clouds
113,Codrington,AU,-38.2667,141.9667,50.04,94,73,14.32,broken clouds
114,Ostrovnoy,RU,68.0531,39.5131,45.79,90,100,16.26,overcast clouds
115,Beringovskiy,RU,63.05,179.3167,51.76,90,100,1.61,overcast clouds
116,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,16.11,few clouds
117,Miri,MY,4.4148,114.0089,80.74,94,20,2.3,few clouds
118,Constitucion,CL,-35.3333,-72.4167,53.65,86,26,9.13,scattered clouds
119,Garango,BF,11.8,-0.5506,82.87,58,79,8.43,broken clouds
120,Kaitangata,NZ,-46.2817,169.8464,48.92,73,100,3.02,overcast clouds
121,Isla Mujeres,MX,21.2311,-86.731,80.65,70,95,9.62,overcast clouds
122,Sao Raimundo Nonato,BR,-9.0153,-42.6994,80.98,43,41,9.31,scattered clouds
123,Brigantine,US,39.4101,-74.3646,89.29,73,1,11.5,clear sky
124,Richards Bay,ZA,-28.783,32.0377,57.54,83,0,6.87,clear sky
125,Baruun-Urt,MN,46.6806,113.2792,60.42,69,100,12.01,overcast clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,53.62,58,90,5.99,overcast clouds
127,Hamilton,US,39.1834,-84.5333,91.22,67,40,1.99,scattered clouds
128,College,US,64.8569,-147.8028,65.59,57,75,5.75,broken clouds
129,Mingguang,CN,32.7802,117.9638,76.73,93,100,14.0,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,40,5.75,scattered clouds
131,Piet Retief,ZA,-27.0071,30.8132,37.96,94,0,2.84,clear sky
132,Saskylakh,RU,71.9167,114.0833,55.15,68,85,13.8,overcast clouds
133,Atar,MR,20.5169,-13.0499,104.85,13,97,1.34,overcast clouds
134,Warrnambool,AU,-38.3833,142.4833,51.82,91,92,17.65,overcast clouds
135,Chantada,ES,42.6088,-7.7712,66.42,74,82,5.39,broken clouds
136,Kaohsiung,TW,22.6163,120.3133,84.15,90,75,8.01,broken clouds
137,Yulara,AU,-25.2406,130.9889,46.24,61,5,5.75,clear sky
138,Ulladulla,AU,-35.35,150.4667,55.09,63,4,12.55,clear sky
139,Abingdon,GB,51.6711,-1.2828,68.92,81,75,5.75,broken clouds
140,Manga,BF,11.6636,-1.0731,80.28,65,73,8.48,broken clouds
141,Katsuura,JP,35.1333,140.3,80.11,83,56,12.08,broken clouds
142,Mala,PE,-12.6581,-76.6308,66.36,74,18,8.28,few clouds
143,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
144,Buta,CD,2.7858,24.73,72.54,81,100,1.03,overcast clouds
145,Alappuzha,IN,9.49,76.3264,77.38,89,100,14.83,overcast clouds
146,Verkhnetulomskiy,RU,68.6073,31.7962,44.73,79,100,4.7,overcast clouds
147,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,2.3,light rain
148,Comarapa,BO,-17.9,-64.4833,66.34,51,0,8.23,clear sky
149,Greensburg,US,40.3015,-79.5389,87.58,69,75,7.0,broken clouds
150,Laguna,US,38.421,-121.4238,104.25,33,1,1.99,clear sky
151,Portland,US,45.5234,-122.6762,88.97,47,1,4.0,clear sky
152,Webuye,KE,0.6075,34.7697,65.61,76,39,0.98,scattered clouds
153,Japura,ID,-0.3167,102.35,74.84,88,9,2.77,clear sky
154,Dikson,RU,73.5069,80.5464,39.42,85,100,14.88,overcast clouds
155,Avarua,CK,-21.2078,-159.775,75.25,88,40,4.61,scattered clouds
156,Kaeo,NZ,-35.1,173.7833,57.33,97,32,9.42,scattered clouds
157,Great Falls,US,47.5002,-111.3008,94.93,12,1,7.0,clear sky
158,Nikolayevka,RU,53.1257,47.2041,61.7,54,100,3.74,overcast clouds
159,Chakradharpur,IN,22.7,85.6333,77.68,90,83,4.9,broken clouds
160,George Town,MY,5.4112,100.3354,83.89,85,20,2.3,few clouds
161,Beloha,MG,-25.1667,45.05,62.35,67,61,11.34,broken clouds
162,Grand Forks,US,47.9417,-97.4337,91.13,21,20,10.36,few clouds
163,Torbay,CA,47.6666,-52.7314,62.28,87,75,10.36,broken clouds
164,Sur,OM,22.5667,59.5289,93.49,52,55,12.82,broken clouds
165,Juba,SS,4.8517,31.5825,68.31,91,100,1.99,overcast clouds
